PUC_Maximo_Asset_ID,DPW_Node_ID,Drain_Type,SYSTEM,System_Use_Code,System_Use,lng,lat
50901,50901,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1240956,29.94805744
50902,50902,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12402136,29.94802677
50903,50903,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1239795,29.94786891
50904,50904,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12408024,29.9477861
50905,50905,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12421998,29.94780051
50906,50906,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12429755,29.94785309
50907,50907,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12402491,29.94666767
50908,50908,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12395115,29.94659638
50909,50909,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12415649,29.94664451
50910,50910,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12422537,29.94658578
50911,50911,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12423301,29.94648774
50912,50912,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12414631,29.94641945
50913,50913,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12156366,29.94645006
50914,50914,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12132414,29.9467353
50915,50915,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12140159,29.94697472
50916,50916,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12142423,29.94694243
50917,50917,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12117367,29.94677703
50918,50918,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12111392,29.94685272
50919,50919,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12114329,29.94697484
50920,50920,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12089336,29.94728998
50921,50921,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12066609,29.94757033
50922,50922,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12076173,29.94761183
50923,50923,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1207377,29.94781782
50924,50924,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12078487,29.94777452
50925,50925,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12028118,29.94741994
50926,50926,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11996497,29.94734391
50927,50927,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12001543,29.94726564
50928,50928,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12059748,29.94654426
50929,50929,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12064871,29.94646162
50930,50930,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12031942,29.94657669
50931,50931,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.12039401,29.94663737
50932,50932,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11989893,29.94711022
50933,50933,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1199888,29.94715416
50934,50934,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1195874,29.94765225
50935,50935,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11950966,29.94761341
50936,50936,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11972842,29.94732548
50937,50937,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11981493,29.94735065
50938,50938,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11948835,29.94706519
50939,50939,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11954246,29.94698195
50940,50940,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11925176,29.94681367
50941,50941,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11919488,29.94688939
50942,50942,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11882132,29.94787014
50943,50943,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11885938,29.94780862
50944,50944,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11912896,29.94794359
50945,50945,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11853998,29.94769944
50946,50946,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11860586,29.94765131
50947,50947,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11857956,29.94751297
50948,50948,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11846489,29.9474438
50949,50949,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11892422,29.94684315
50950,50950,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11904171,29.94691734
50951,50951,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11921881,29.94669152
50952,50952,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11910136,29.9466142
50953,50953,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11867325,29.94647714
50954,50954,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11827558,29.94767013
50955,50955,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11840885,29.94774447
50956,50956,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11805688,29.94795306
50957,50957,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11836284,29.94639617
50958,50958,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11805519,29.94732628
50959,50959,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11773927,29.94722588
50960,50960,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11778667,29.94716383
50961,50961,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11793311,29.94662778
50962,50962,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11797935,29.9466607
